query-idProyecto,gen > rel* 3.0
q1-57800092,False
q1-1863190961,False
q1-10180041,False
q1-1506524266334,False
q1-31550023,False
q1-1884040025,False
q1-1355480252,False
q1-1859473908,False
q1-1506520146272,False
q1-7890332,False
q1-1855931308,False
q1-45080058,False
q1-49730012,False
q1-13390013,False
q1-1509202436664,False
q1-1506516387044,False
q1-1790670480,False
q1-7870062,False
q1-33010046,False
q1-1506181106746,False
q1-1881080475,False
q1-1513373336060,False
q1-50100001,False
q1-10030449,False
q1-4840143,False
q1-4880162,False
q1-1873970039,False
q1-1511509698938,False
q1-1505960736188,False
q1-19100171,False
q1-1872970336,False
q1-1506270127591,False
q1-11040003,False
q1-4850246,False
q1-1872940094,False
q1-14690018,False
q1-2037100555,False
q1-1892890187,False
q1-13060029,False
q1-1859762138,False
q1-7900148,False
q1-1857631417,False
q1-1793320216,False
q1-1506704457092,False
q1-1976680008,False
q1-4840121,False
q1-1883380284,False
q1-1940035,False
q1-1509223416274,False
q1-13060050,False
q1-1505883556465,False
q1-1788960329,False
q1-1971322173,False
q1-30535192,False
q1-43180071,False
q1-38811205,True
q1-45430022,False
q1-33300138,False
q1-10860006,True
q1-21710081,False
q1-1966791433,False
q1-1506170426686,False
q1-1506263096902,False
q1-1875490331,False
q1-1972891707,False
q1-6910101,False
q1-16841286,False
q1-1514444197137,False
q1-27670047,False
q1-1984351074,False
q1-10560012,False
q1-5649391675244544,False
q1-37170087,True
q1-1793840017,False
q1-1506709907003,False
q1-1864391655,False
q1-1509236676504,False
q1-1867300198,False
q1-41880043,False
q1-20980005,False
q1-2033310456,False
q1-11020027,False
q1-43960038,False
q1-1797230128,False
q1-31910042,False
q1-80228724,False
q1-48630068,False
q1-1984082076,False
q1-1793500330,False
q1-48460045,False
q1-1511511836944,False
q1-1513295543997,False
q1-50570116,False
q1-1511123948820,False
q1-1512048452131,False
q1-46700033,False
q1-1881481690,False
q1-1790329,False
q1-1863301562,False
q1-1978970753,False
q1-1793641151,False
q1-1879360037,False
q1-27050576,False
q1-900109,False
q1-7980004,False
q1-1506493636528,False
q1-21770120,False
q1-42540099,False
q1-33837272,False
q1-1797140185,False
q1-15030014,False
q1-4890065,False
q1-1878400640,False
q1-1509070776260,False
q1-37220006,False
q1-1506174547114,False
q1-970010,False
q1-35820134,False
q1-1506233866939,False
q1-1994840013,True
q1-4870393,False
q1-47910028,False
q1-1797440305,False
q1-1978731214,False
q1-6810158,False
q1-2034580327,False
q1-10080001,False
q1-1864440790,False
q1-1863770846,False
q1-23742836,False
q1-1513279968806,False
q1-1884020517,False
q1-31310263,False
q1-1881171177,False
q1-1509194426245,False
q1-6780442,False
q1-46353547,False
q1-1793700497,False
q1-13110055,False
q1-45920033,False
q1-43140010,False
q1-2030610742,False
q1-10650227,False
q1-1865511274,False
q1-20120054,False
q1-1513274616668,False
q1-33160018,False
q1-1506173567420,False
q1-1513299478026,False
q1-1988100263,False
q1-1869242377,False
q1-1509091185984,False
q1-1511120052369,False
q1-7860138,False
q1-1513507757267,False
q1-1790760391,False
q1-900355,False
q1-1506269298769,False
q1-1862771155,False
q1-1880150100,False
q1-33610156,False
q1-1799050257,False
q1-1508146756018,True
q1-1866151159,False
q1-24850075,False
q1-1509058586044,False
q1-10080019,False
q1-1878290041,False
q1-16525743,False
q1-19218689,False
q1-1506177516607,False
q1-1513294000230,False
q1-41070083,False
q1-49410029,False
q1-31290055,False
q1-1506498856950,False
q1-1506493426479,False
q1-7970036,False
q1-21710068,False
q1-1881040074,False
q1-1977291520,False
q1-24760057,False
q1-1506721526744,False
q1-1875390063,False
q1-970020,False
q1-1511268306814,False
q1-1862471526,False
q1-1790760297,False
q1-28580018,False
q1-1513290166294,False
q1-1506685457043,False
q1-1509206366098,False
q1-16040058,True
q1-7870148,True
q1-1803060473,False
q1-1984430497,False
q1-2035290953,False
q1-2970140,False
q1-49670063,False
q1-1980860243,False
q1-1797540044,False
q1-1511283267092,False
q1-1511513788902,False
q1-1506500676261,False
q1-14110061,False
q1-7890257,False
q1-1509218473106,False
q1-1872850093,False
q1-1511130070891,False
q1-1795540309,False
q1-1873751474,False
q1-35820136,False
q1-47560075,False
q1-24630133,False
q1-48230034,False
q1-1872910431,False
q1-6790061,False
q1-15070006,False
q1-1509216636214,False
q1-24730101,False
q1-1506496436725,False
q1-1289020003,False
q1-122244312,False
q1-1506124216461,False
q1-1505955227120,False
q1-27310076,False
q1-1974701347,False
q1-1602620223,False
q1-1509225995986,False
q1-42800007,False
q1-1511999012342,False
q1-1509198616064,False
q1-1512112272297,False
q1-1866061568,False
q1-1780397,False
q1-1510963357927,False
q1-57820075,False
q1-1506174457179,False
q1-48790008,False
q1-22160299,False
q1-5970036,False
q1-2033420336,False
q1-1801335796,False
q1-4930005,False
q1-45780058,False
q1-1800101555,False
q1-1506262577411,False
q1-1507330976082,False
q1-1513285930549,False
q1-1871860092,False
q1-1859812033,False
q1-1984530276,False
q1-1856921186,False
q1-2033800542,False
q1-30290047,False
q1-1798210422,False
q1-13060019,False
q1-1798701026,False
q1-1791991074,False
q1-13220034,False
q1-1505965666056,False
q1-1512146326692,False
q1-1975270594,False
q1-1878170062,False
q1-1861491437,False
q1-1506164777212,False
q1-40400037,False
q1-1920002,False
q1-1506758346840,False
q1-1509222190156,False
q1-1511116401271,False
q1-1509198626591,False
q1-22550037,False
q1-3950047,False
q1-1880340042,False
q1-26550042,False
q1-1506510636415,False
q1-1509048566297,False
q1-7920049,False
q1-1798690265,False
q1-1506166867614,False
q1-1884180782,False
q1-38080036,False
q1-5990306,False
q1-11020029,False
q1-6790035,False
q1-1509225326060,False
q1-1875340139,False
q1-45390054,False
q1-20800557,False
q1-1983291765,False
q1-44800029,False
q1-45980013,False
q1-29625158,False
q1-1513297331081,False
q1-1792881449,False
q1-1872940093,False
q1-23842748,False
q1-21830035,False
q1-1506719027198,False
q1-960008,False
q1-2037440684,True
q1-1506746547444,False
q1-1857791233,False
q1-1506185986057,False
q1-28741847,False
q1-34920142,False
q1-1509234856027,False
q1-1867031436,False
q1-1131230489,False
q1-1354020033,False
q1-36220860,False
q1-1506489676263,False
q1-1506687767399,False
q1-45910071,False
q1-44790049,False
q1-1984120994,False
q1-1505959776000,False
q1-2035450826,False
q1-1512047992365,False
q1-7890056,False
q1-47170006,False
q1-47500058,False
q1-1872680227,False
q1-46063809,False
q1-50070021,False
q1-1974821778,False
q1-1879690737,False
q1-1861232143,False
q1-41620016,False
q1-5629499534213120,False
q1-1876381512,False
q1-1876820021,False
q1-1506171966657,False
q1-32750019,False
q1-1800060197,False
q1-38600044,False
q1-1513849917268,False
q1-1986100434,False
q1-1511133102246,False
q1-1506714186849,False
q1-1506531626003,False
q1-1860005,False
q1-1506720256624,False
q1-960053,False
q1-1509186659273,False
q1-39060023,False
q1-1791770031,False
q1-1875450886,False
q1-2980106,True
q1-20900009,False
q1-1506179157328,False
q1-41170020,False
q1-2037700296,False
q1-1509046426223,False
q1-1506494716249,False
q1-36490190,False
q1-1872920092,False
q1-26810110,False
q1-4870369,False
q1-1802030357,False
q1-1511120076135,False
q1-36750034,False
q1-1986220805,False
q1-1863801180,False
q1-1879271784,False
q1-1506700426462,False
q1-1973531692,False
