id,name,declaryngType,methodDescriptor,returnType,numArgument,hasConstants
4840121,format,TimeFormat,(Lorg/ocpsoft/prettytime/Duration;)Ljava/lang/String;,String,1,0
4840121,get,List<TimeUnit>,(I)Lorg/ocpsoft/prettytime/TimeUnit;,TimeUnit,1,0
4840121,get,List<Duration>,(I)Lorg/ocpsoft/prettytime/Duration;,Duration,1,0
4840121,get,List<Duration>,(I)Lorg/ocpsoft/prettytime/Duration;,Duration,1,1
4840121,get,List<DateGroup>,(I)Lorg/ocpsoft/prettytime/nlp/parse/DateGroup;,DateGroup,1,0
4840121,get,List<DateGroup>,(I)Lorg/ocpsoft/prettytime/nlp/parse/DateGroup;,DateGroup,1,1
4840121,get,"Map<TimeUnit,TimeFormat>",(Ljava/lang/Object;)Lorg/ocpsoft/prettytime/TimeFormat;,TimeFormat,1,0
4840121,get,"Map<String,TimeFormat>",(Ljava/lang/Object;)Lorg/ocpsoft/prettytime/TimeFormat;,TimeFormat,1,0
4840121,get,List<TimeFormat>,(I)Lorg/ocpsoft/prettytime/TimeFormat;,TimeFormat,1,0
4840121,put,"Map<TimeUnit,TimeFormat>",(Lorg/ocpsoft/prettytime/TimeUnit;Lorg/ocpsoft/prettytime/TimeFormat;)Lorg/ocpsoft/prettytime/TimeFormat;,TimeFormat,2,0
4840121,put,"Map<String,TimeFormat>",(Ljava/lang/String;Lorg/ocpsoft/prettytime/TimeFormat;)Lorg/ocpsoft/prettytime/TimeFormat;,TimeFormat,2,0
4840121,computeIfAbsent,"Map<TimeUnit,TimeFormat>",(Lorg/ocpsoft/prettytime/TimeUnit;Ljava/util/function/Function;)Lorg/ocpsoft/prettytime/TimeFormat;,TimeFormat,2,0
4840121,computeIfAbsent,"Map<Locale,PrettyTime>",(Ljava/util/Locale;Ljava/util/function/Function;)Lorg/ocpsoft/prettytime/PrettyTime;,PrettyTime,2,0
