query-idProyecto,orig_total,gen_total,gen > rel* 1,gen > rel* 1.1,gen > rel* 1.2,gen > rel* 1.3
q1-33300161,0,0,False,False,False,False
q1-1880150100,0,0,False,False,False,False
q1-4850246,0,0,False,False,False,False
q1-108852928,0,0,False,False,False,False
q1-1506720256624,41,62,True,True,True,True
q1-41710041,11,18,True,True,True,True
q1-1506173567420,0,0,False,False,False,False
q1-900355,0,0,False,False,False,False
q1-6790035,0,0,False,False,False,False
q1-1983291765,0,0,False,False,False,False
q1-1506702147455,0,0,False,False,False,False
q1-1506527896539,0,0,False,False,False,False
q1-1505965666056,0,0,False,False,False,False
q1-1513309296134,0,0,False,False,False,False
q1-1792872524,0,0,False,False,False,False
q1-1792430554,0,0,False,False,False,False
q1-1511206652464,0,0,False,False,False,False
q1-80228724,57,57,False,False,False,False
q1-1513306729580,0,0,False,False,False,False
q1-1791430060,0,0,False,False,False,False
q1-1511852806633,0,0,False,False,False,False
q1-960053,0,0,False,False,False,False
q1-1509116128544,2,2,False,False,False,False
q1-1794535803,0,0,False,False,False,False
q1-1795050604,4,5,True,True,True,False
q1-1513295580981,0,0,False,False,False,False
q1-36490190,0,0,False,False,False,False
q1-1860885457,0,0,False,False,False,False
q1-22650009,0,0,False,False,False,False
q1-57800092,0,0,False,False,False,False
q1-3960083,0,0,False,False,False,False
q1-1780397,0,0,False,False,False,False
q1-11080014,80,249,True,True,True,True
q1-13140029,0,0,False,False,False,False
q1-10030057,0,0,False,False,False,False
q1-46050014,0,0,False,False,False,False
q1-2033310456,0,0,False,False,False,False
q1-47900022,0,0,False,False,False,False
q1-1509091185984,0,0,False,False,False,False
q1-1872820788,0,0,False,False,False,False
q1-2036600679,0,0,False,False,False,False
q1-49360018,0,0,False,False,False,False
q1-29615160,0,0,False,False,False,False
q1-1979411881,0,0,False,False,False,False
q1-1506719027198,0,0,False,False,False,False
q1-28580018,0,0,False,False,False,False
q1-1980860243,0,0,False,False,False,False
q1-1506124216461,0,0,False,False,False,False
q1-45980013,0,0,False,False,False,False
q1-1513295543997,0,0,False,False,False,False
q1-1513348288785,3,3,False,False,False,False
q1-47900019,0,0,False,False,False,False
q1-6770118,0,0,False,False,False,False
q1-1509048566297,0,0,False,False,False,False
q1-1511130070891,0,0,False,False,False,False
q1-48630068,0,0,False,False,False,False
q1-1863361136,0,0,False,False,False,False
q1-1511511836944,0,0,False,False,False,False
q1-1506243617617,0,0,False,False,False,False
q1-16525731,0,0,False,False,False,False
q1-1511132959000,0,0,False,False,False,False
q1-16040058,3,12,True,True,True,True
q1-1876470319,0,0,False,False,False,False
q1-2950070,0,0,False,False,False,False
q1-1790760391,0,0,False,False,False,False
q1-48730022,0,0,False,False,False,False
q1-31490011,0,0,False,False,False,False
q1-28660008,0,0,False,False,False,False
q1-44470115,2,6,True,True,True,True
q1-1793710433,0,0,False,False,False,False
q1-1506181276011,0,0,False,False,False,False
q1-47890074,0,6,True,True,True,True
q1-38600044,0,0,False,False,False,False
q1-37170087,0,1,True,True,True,True
q1-1867300198,0,0,False,False,False,False
q1-1791520423,0,0,False,False,False,False
q1-1863420972,0,0,False,False,False,False
q1-1511133102246,0,0,False,False,False,False
q1-1920002,0,0,False,False,False,False
q1-31930013,0,0,False,False,False,False
q1-1796142111,24,26,True,False,False,False
q1-1984120998,0,0,False,False,False,False
q1-37240003,0,0,False,False,False,False
q1-51010015,0,0,False,False,False,False
q1-1798250621,0,0,False,False,False,False
q1-49670063,0,0,False,False,False,False
q1-46290061,0,0,False,False,False,False
q1-1506500676261,0,0,False,False,False,False
q1-1802030357,0,0,False,False,False,False
q1-1859473908,0,0,False,False,False,False
q1-47560075,0,0,False,False,False,False
q1-1511120052369,0,0,False,False,False,False
q1-1506520226394,0,0,False,False,False,False
q1-42900016,0,0,False,False,False,False
q1-1508146756018,0,2,True,True,True,True
q1-1506183456116,0,0,False,False,False,False
q1-940125,0,0,False,False,False,False
q1-1790760297,0,0,False,False,False,False
q1-1506508636412,8,9,True,True,False,False
q1-1797540044,6,10,True,True,True,True
q1-1864280925,0,0,False,False,False,False
q1-1875390063,0,0,False,False,False,False
q1-5980371,0,0,False,False,False,False
q1-1505960736188,0,0,False,False,False,False
q1-38901168,0,0,False,False,False,False
q1-930029,0,0,False,False,False,False
q1-1514714197393,0,0,False,False,False,False
q1-1984351074,0,0,False,False,False,False
q1-15580006,0,0,False,False,False,False
q1-48360102,1,1,False,False,False,False
q1-1513291679722,0,0,False,False,False,False
q1-39810013,0,0,False,False,False,False
q1-1506177516607,0,0,False,False,False,False
q1-1506700426462,0,0,False,False,False,False
q1-1860774854,0,0,False,False,False,False
q1-35820134,0,0,False,False,False,False
q1-1857631417,0,0,False,False,False,False
q1-25580019,0,0,False,False,False,False
q1-1505909746847,78,340,True,True,True,True
q1-1880340042,0,0,False,False,False,False
q1-1800063,0,0,False,False,False,False
q1-1984191059,0,0,False,False,False,False
q1-2036030534,0,0,False,False,False,False
q1-1509228726199,0,0,False,False,False,False
q1-1506262537775,0,0,False,False,False,False
q1-1875790634,0,0,False,False,False,False
q1-33815269,0,0,False,False,False,False
q1-45430020,0,0,False,False,False,False
q1-15070006,0,0,False,False,False,False
q1-1513290166294,0,0,False,False,False,False
q1-1966791433,0,0,False,False,False,False
q1-1513279968806,0,0,False,False,False,False
q1-7900429,0,0,False,False,False,False
q1-31910057,0,0,False,False,False,False
q1-1984430497,0,0,False,False,False,False
q1-2033450476,0,0,False,False,False,False
q1-1793550727,0,0,False,False,False,False
q1-2031660564,0,0,False,False,False,False
q1-23742836,0,0,False,False,False,False
q1-1994840013,0,220,True,True,True,True
q1-1506491596226,0,0,False,False,False,False
q1-1857791233,0,0,False,False,False,False
q1-14690018,0,0,False,False,False,False
q1-1506180576132,0,0,False,False,False,False
q1-1859802304,0,0,False,False,False,False
q1-1860384777,0,0,False,False,False,False
q1-10650227,0,0,False,False,False,False
q1-1512501290024,0,0,False,False,False,False
q1-2980123,0,0,False,False,False,False
q1-36370055,0,0,False,False,False,False
q1-1513301279844,0,0,False,False,False,False
q1-1506522536093,0,0,False,False,False,False
q1-2034580327,0,0,False,False,False,False
q1-5961640,0,0,False,False,False,False
q1-1513981047985,0,0,False,False,False,False
q1-40790007,0,0,False,False,False,False
q1-37060037,0,6,True,True,True,True
q1-10480124,0,0,False,False,False,False
q1-1971931894,0,0,False,False,False,False
q1-5961559,0,0,False,False,False,False
q1-1513384817120,1,1,False,False,False,False
q1-19864323,0,0,False,False,False,False
q1-42800007,0,0,False,False,False,False
q1-25620005,0,48,True,True,True,True
q1-1511268306814,0,0,False,False,False,False
q1-27020002,1,1,False,False,False,False
q1-25990034,0,0,False,False,False,False
q1-39060023,0,0,False,False,False,False
q1-1860904624,0,0,False,False,False,False
q1-29430033,0,0,False,False,False,False
q1-1506704457092,0,0,False,False,False,False
q1-10030449,0,0,False,False,False,False
q1-970010,0,0,False,False,False,False
q1-1975270594,0,0,False,False,False,False
q1-1512048452131,0,0,False,False,False,False
q1-1883161351,0,0,False,False,False,False
q1-33300138,0,0,False,False,False,False
q1-1795540309,0,0,False,False,False,False
q1-1880280026,0,0,False,False,False,False
q1-10860006,0,1,True,True,True,True
q1-1976211510,0,0,False,False,False,False
q1-1877742151,0,0,False,False,False,False
q1-1506171966657,0,0,False,False,False,False
q1-1967792474,0,0,False,False,False,False
q1-47910028,0,0,False,False,False,False
q1-26760084,0,0,False,False,False,False
q1-1511513788902,0,0,False,False,False,False
q1-42050109,0,0,False,False,False,False
q1-1982620835,0,0,False,False,False,False
q1-1859473956,0,0,False,False,False,False
q1-6820070,0,0,False,False,False,False
q1-52936492,0,0,False,False,False,False
q1-35380045,9,64,True,True,True,True
q1-7870349,0,0,False,False,False,False
q1-47500058,0,0,False,False,False,False
q1-1506164777212,0,0,False,False,False,False
q1-2033800529,0,0,False,False,False,False
q1-34530049,0,0,False,False,False,False
q1-1797370124,0,0,False,False,False,False
q1-1878800409,0,0,False,False,False,False
q1-19100171,0,0,False,False,False,False
q1-1509202436664,0,0,False,False,False,False
q1-1794850186,0,0,False,False,False,False
q1-1791991074,0,0,False,False,False,False
q1-1867031436,0,0,False,False,False,False
q1-41620016,0,0,False,False,False,False
q1-2028910764,0,0,False,False,False,False
q1-970037,1,1,False,False,False,False
q1-1506500486191,0,0,False,False,False,False
q1-12170495,0,0,False,False,False,False
q1-1986220805,0,0,False,False,False,False
q1-1344240419,0,0,False,False,False,False
q1-6780442,0,0,False,False,False,False
q1-10080019,0,0,False,False,False,False
q1-4870151,0,0,False,False,False,False
q1-33160018,0,0,False,False,False,False
q1-1795631360,0,0,False,False,False,False
q1-13060029,0,0,False,False,False,False
q1-20120054,4,4,False,False,False,False
q1-1980421227,0,0,False,False,False,False
q1-41070083,0,0,False,False,False,False
q1-1512146326692,0,0,False,False,False,False
q1-1892890187,1,1,False,False,False,False
q1-37170074,0,0,False,False,False,False
q1-50570116,1,1,False,False,False,False
q1-38080036,0,0,False,False,False,False
q1-48650045,0,0,False,False,False,False
q1-1511090432995,0,0,False,False,False,False
q1-11020029,0,0,False,False,False,False
q1-1984530276,0,0,False,False,False,False
q1-1513283878109,0,0,False,False,False,False
q1-1869242377,0,0,False,False,False,False
q1-1506679866479,0,0,False,False,False,False
q1-43960038,0,0,False,False,False,False
q1-1506746547444,0,0,False,False,False,False
q1-21060100,0,0,False,False,False,False
q1-1514687915979,0,0,False,False,False,False
q1-1856830886,0,0,False,False,False,False
q1-2034690276,0,0,False,False,False,False
q1-1513119852308,0,0,False,False,False,False
q1-31950024,0,0,False,False,False,False
q1-7870148,112,350,True,True,True,True
q1-47170006,0,0,False,False,False,False
q1-10030317,0,0,False,False,False,False
q1-1506595388227,0,0,False,False,False,False
q1-48300011,0,0,False,False,False,False
q1-18080084,0,0,False,False,False,False
q1-1873970039,0,0,False,False,False,False
q1-1507314506037,0,0,False,False,False,False
q1-1506105848055,0,0,False,False,False,False
q1-1513274616668,0,0,False,False,False,False
q1-13290027,0,0,False,False,False,False
q1-1871940464,0,0,False,False,False,False
q1-1984490326,0,0,False,False,False,False
q1-1971742352,0,0,False,False,False,False
q1-45390054,0,0,False,False,False,False
q1-1506518536320,0,0,False,False,False,False
q1-45080052,0,0,False,False,False,False
q1-41880043,0,0,False,False,False,False
q1-1875450886,0,0,False,False,False,False
q1-1513557166296,0,0,False,False,False,False
q1-4860318,0,0,False,False,False,False
q1-48700022,0,0,False,False,False,False
q1-1506758346840,0,0,False,False,False,False
q1-1506176517200,0,0,False,False,False,False
q1-1881481690,0,0,False,False,False,False
q1-12010013,0,0,False,False,False,False
q1-16525743,0,0,False,False,False,False
q1-1509046426223,0,0,False,False,False,False
q1-5990049,0,0,False,False,False,False
q1-1795110502,0,0,False,False,False,False
q1-30640057,1,1,False,False,False,False
q1-1513459213909,0,0,False,False,False,False
q1-2980312,0,0,False,False,False,False
q1-1880250571,0,0,False,False,False,False
q1-12050060,0,0,False,False,False,False
q1-1513293761181,0,0,False,False,False,False
q1-1509058586044,0,0,False,False,False,False
q1-41390043,0,0,False,False,False,False
q1-6780354,0,0,False,False,False,False
q1-11730003,0,0,False,False,False,False
q1-1511529536930,0,0,False,False,False,False
q1-1509186659273,1,1,False,False,False,False
q1-1780450,0,0,False,False,False,False
q1-1506181556054,0,0,False,False,False,False
q1-11040003,0,0,False,False,False,False
q1-114736093,73,98,True,True,True,True
q1-900109,7,7,False,False,False,False
q1-1881080475,0,0,False,False,False,False
q1-17270432,0,0,False,False,False,False
q1-43430045,0,0,False,False,False,False
q1-1506714186849,0,0,False,False,False,False
q1-1984120994,0,0,False,False,False,False
q1-1354020033,0,0,False,False,False,False
q1-1795701151,0,1,True,True,True,True
q1-1861380672,0,0,False,False,False,False
q1-960008,0,0,False,False,False,False
q1-1513289611811,0,0,False,False,False,False
q1-2035290953,0,0,False,False,False,False
q1-44790048,0,0,False,False,False,False
q1-45970008,0,0,False,False,False,False
q1-1506498896742,0,0,False,False,False,False
q1-1507328996013,0,0,False,False,False,False
q1-36750034,0,0,False,False,False,False
q1-1506250646045,0,0,False,False,False,False
q1-1790327,0,0,False,False,False,False
q1-1511116401271,0,0,False,False,False,False
q1-9990133,0,0,False,False,False,False
q1-15690045,0,0,False,False,False,False
q1-26624051,0,0,False,False,False,False
q1-1509236857869,0,0,False,False,False,False
q1-32750019,0,0,False,False,False,False
